"Marca temporal","Selecciona tu plantel:","Selecciona tu sexo:","Mi edad:","Grado escolar que estudio:","¿Cómo es tu hogar?","Ademas de estudiar, ¿realizas algún trabajo?","¿Te sientes seguro/a en tu escuela?","Si requieres de ayuda, ¿cuentas con personas dispuestas a auxiliarte en tu escuela?","¿Te sientes seguro/a en tu casa?","Si requirieras ayuda en tu hogar, ¿cuentas con personas dispuestas a auxiliarte? ","En el último mes, has sentido de manera continua:","¿Te gustaría hablar con un profesional de la salud sobre alguna(s) de esta(s) emociones que has sentido?","¿Experimentas alguna situación emocional en tu vida que interfiera con la capacidad para trabajar, estudiar, dormir, comer y disfrutar de actividades?","¿Con qué frecuencia experimentas sensaciones de bienestar/seguridad/alegría en tu vida diaria?","¿De qué temas relacionados a la sana convivencia y salud mental te gustaría conocer más?","¿Haz tenido relaciones sexuales?","¿Estuviste de acuerdo en tener relaciones sexuales?","¿A qué edad tuviste tu primera relación sexual? ","La última vez que tuviste relaciones sexuales, ¿tu pareja o tú utilizaron condón o preservativo masculino o femenino?","¿Alguna vez ha sido diagnosticado con una enfermedad de transmisión sexual?","En los últimos 12 meses, ¿has tenido o sentido alguno de los siguientes síntomas? ","¿Existe algo relacionado a tu sexualidad que cause preocupación o estrés en tu vida?","De los siguientes temas, ¿cuál te gustaría conocer un poquito más?","En los últimos 12 meses, ¿participaste en alguna pelea con otros jóvenes?","Durante el mes pasado, ¿alguna vez tomaste alcohol como para sentirte borracho/a?","¿Tienes novio o novia?","¿Cuanto tiempo llevas en tu noviazgo","¿Como evaluas la relación con tu pareja?","Durante los últimos 12 meses, tu pareja intencionalmente ¿te golpeo, abofeteo, o te dañó físicamente de alguna manera?","¿Solicitaste ayuda, a alguien?","¿Alguna vez en tu vida, has consumido alguna droga?","Que sustencia has consumido:","Sientes que el consumo de alguna de las sustancias que has mencionado, ¿te ha causado algún problema en tu vida cotidiana?","¿Te gustaría hablar con un profesional de salud acerca de las adicciones?"
"2022/03/07 8:46:51 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17 ","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 1 y 2 años","9","No","No","No","","",""
"2022/03/07 8:47:06 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","No me acuerdo ","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Menos de 6 meses","8","No","No","No","","",""
"2022/03/07 8:48:09 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Enojo o rabia","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes;Dolores o ampollas en los órganos genitales","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 1 y 2 años","9","No","No","No","","",""
"2022/03/07 8:48:21 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Sólo.","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","Ya estoy llegando con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/07 8:51:28 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17 ","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Métodos anticonceptivos","No","No","Sí","Entre 1 y 2 años","9","No","No","No","","",""
"2022/03/07 8:51:38 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","Sí","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/07 8:53:08 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Buen trato y compañerismo","Sí","Sí","Alos 16 ","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","Sí","Entre 1 y 2 años","10","No","No","No","","",""
"2022/03/07 8:56:12 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con conocidos o amigos","No","Sí","Sí","Sí","Sí","Cansancio","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","15","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 8:56:35 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con conocidos o amigos","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Algunas veces","Manejo de la frustración","Sí","Sí","16","No","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Mas de 2 años","9","No","No","No","","",""
"2022/03/07 9:05:03 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","15 años ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 9:07:59 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17 Años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","Tristeza","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Dolores o ampollas en los órganos genitales","No","Sexualidad plena y responsable","No","Sí","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/07 9:14:12 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","15 años","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 9:15:25 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/07 9:15:46 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 9:18:06 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","Sí","Sí","No","","","","","No","","",""
"2022/03/07 9:20:20 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","16","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Nunca","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","De las materias","No","No","No","","","","","No","","",""
"2022/03/07 9:20:26 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","19 ","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Pocas veces","Buen trato y compañerismo","Sí","Sí","Alos 19","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","Sí","Sí","Entre 6 meses y un año","10","No","No","No","","",""
"2022/03/07 9:20:36 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","Sí","Sí","Que les importa ","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
